time,A0 (RED),A1 (PURPLE),A2 (YELLOW),A3 (BLACK)
1.6421432495117188,382,308,183,164
1.6902685165405273,382,308,182,163
1.7542939186096191,382,308,182,163
1.8028109073638916,382,307,182,164
1.850609540939331,381,308,182,163
1.898280382156372,382,308,182,163
1.9467103481292725,382,308,182,164
2.010622978210449,382,308,182,163
2.0583536624908447,382,308,182,163
2.106024742126465,382,308,182,163
2.167850971221924,382,307,183,163
2.2048583030700684,382,308,183,163
2.2659754753112793,382,308,183,163
2.313965320587158,382,307,183,164
2.3620152473449707,382,307,183,163
2.4104220867156982,382,308,183,163
2.4589147567749023,382,308,183,164
2.5063211917877197,382,307,183,163
2.5703041553497314,382,307,183,163
2.618826389312744,382,307,183,163
2.6672263145446777,382,308,183,163
2.7148425579071045,382,307,183,163
2.7624576091766357,382,307,183,163
2.826679229736328,382,307,183,163
2.874403715133667,382,308,183,162
2.9222681522369385,382,307,183,163
2.9707930088043213,382,308,183,162
3.0186216831207275,382,308,183,162
3.082251787185669,382,308,182,163
3.1300840377807617,382,307,183,162
3.1787095069885254,382,307,182,162
3.226255178451538,382,307,183,162
3.273960590362549,382,307,183,163
3.3386082649230957,381,307,183,162
3.3866403102874756,382,307,183,162
3.434176206588745,381,307,183,162
3.4825334548950195,381,307,183,162
3.5299696922302246,381,306,183,162
3.5944931507110596,381,307,182,162
3.6422548294067383,380,306,183,162
3.690368175506592,381,306,182,161
3.7377943992614746,381,306,182,161
3.786355495452881,380,306,182,162
3.8339896202087402,381,307,182,162
3.8987064361572266,381,306,182,162
3.9461920261383057,381,307,183,162
3.9940924644470215,381,307,182,162
4.042750358581543,381,306,183,162
4.090627193450928,381,307,183,162
4.154282569885254,381,307,183,162
4.202288866043091,381,307,183,161
4.25072717666626,381,307,183,161
4.298786401748657,381,307,184,162
4.346153259277344,381,307,184,161
4.4102678298950195,381,307,184,161
4.458405017852783,381,307,184,161
4.506415367126465,381,307,183,162
4.554605484008789,381,307,184,162
4.60260272026062,381,307,183,161
4.665904760360718,381,307,183,162
4.713918924331665,381,307,183,162
4.762138605117798,381,307,183,162
4.8101441860198975,381,307,183,161
4.857953310012817,381,307,183,163
4.921530246734619,381,307,184,161
4.969632148742676,381,307,182,161
5.018601417541504,381,307,182,161
5.06582498550415,381,307,182,161
5.113931179046631,381,307,182,161
5.162364959716797,381,307,182,161
5.226013660430908,381,307,182,161
5.274543762207031,381,307,182,161
5.32257604598999,381,307,181,162
5.370497226715088,381,307,182,162
5.418683767318726,381,307,181,161
5.4816505908966064,381,307,182,161
5.530078887939453,381,307,181,161
5.577702045440674,381,307,181,161
5.62600564956665,381,307,181,161
5.6746625900268555,381,306,181,161
5.738253593444824,381,306,181,161
5.786363363265991,380,306,181,161
5.833705902099609,380,306,180,161
5.8816516399383545,380,306,181,161
5.930038213729858,380,307,181,161
5.993577480316162,380,306,180,161
6.042314767837524,380,306,181,161
6.090034008026123,380,306,181,161
6.138522624969482,380,306,181,161
6.186016798019409,380,306,181,161
6.249500274658203,380,306,181,161
6.297501087188721,380,306,181,161
6.346418619155884,380,305,180,161
6.39441442489624,380,306,181,162
6.442023515701294,380,306,181,161
6.489837408065796,380,306,181,161
6.554213047027588,380,306,181,161
6.6022279262542725,380,306,181,161
6.6503684520721436,380,307,181,162
6.698369264602661,380,306,180,161
6.7460527420043945,380,306,180,161
6.810064792633057,380,306,181,161
6.857417345046997,380,306,181,161
6.9054343700408936,380,306,180,161
6.954190015792847,380,306,181,161
7.00251579284668,380,306,181,161
7.065692186355591,380,305,179,161
